id,ship_name,voyage_id,date,effy_share,revenue_ss,revenue_cc,eu_revenue,carnival_share,office_supplies,discount_share,exec_folio,cc_fee_ss,cc_fee_direct,meal_charge,parole_fee,cash_advance,cash_paid_onboard
504,FREEDOM,FD20221103004,11/3/22,"$18,140.73 ","$17,405.00 ","$13,315.00 ",,"($11,673.60)",,,($51.84),($233.96),($290.27),($329.60),,,
505,FREEDOM,FD20221107005,11/7/22,"$29,647.46 ","$19,494.00 ","$30,583.00 ",,"($19,029.26)",,,($53.84),($267.73),($666.71),($412.00),,,
506,FREEDOM,FD20221112005,11/12/22,"$24,058.88 ","$16,875.00 ","$23,908.00 ",,"($15,497.54)",,,($60.86),($232.53),($521.19),($412.00),,,
507,FREEDOM,FD20221117004,11/17/22,"$32,264.53 ","$25,849.00 ","$28,429.00 ",,"($20,625.64)",,,($80.88),($357.60),($619.75),($329.60),,,
508,FREEDOM,FD20221121006,11/21/22,"$48,636.05 ","$35,555.00 ","$46,204.00 ",,"($31,068.42)",,,($92.86),($460.02),"($1,007.25)",($494.40),,,
509,FREEDOM,FD20221127004,11/27/22,"$11,828.73 ","$9,583.00 ","$10,700.00 ",,"($7,707.54)",,,($53.76),($130.11),($233.26),($329.60),,,
510,FREEDOM,FD20221201004,12/1/22,"$23,063.50 ","$13,795.00 ","$25,174.00 ",,"($14,808.22)",,,($34.56),($188.89),($553.83),($320.00),,,
511,FREEDOM,FD20221029005,10/29/22,"$34,731.86 ","$36,330.00 ","$22,069.00 ",,"($22,191.62)",,,($63.11),($519.31),($481.10),($412.00),,,
512,FREEDOM,FD20221205005,12/5/22,"$58,121.03 ","$33,388.00 ","$64,132.00 ",,"($37,057.60)",,,($92.76),($437.71),"($1,410.90)",($400.00),,,
513,FREEDOM,FD20221210005,12/10/22,"$27,178.38 ","$22,578.00 ","$23,301.00 ",,"($17,434.02)",,,($54.61),($299.37),($512.62),($400.00),,,
514,FREEDOM,FD20221215004,12/15/22,"$18,928.96 ","$18,098.00 ","$13,883.00 ",,"($12,152.78)",,,($37.44),($236.39),($305.43),($320.00),,,
515,FREEDOM,FD20221219004,12/19/22,"$33,605.39 ","$17,649.00 ","$38,839.00 ",,"($21,465.44)",,,($17.28),($225.43),($854.46),($320.00),,,
516,FREEDOM,FD20221223005,12/23/22,"$27,526.24 ","$28,630.00 ","$17,754.00 ",,"($17,625.92)",,,($70.45),($370.80),($390.59),($400.00),,,
517,FREEDOM,FD20221228005,12/28/22,"$37,454.69 ","$40,794.00 ","$22,103.00 ",,"($23,900.86)",,,($83.76),($571.42),($486.27),($400.00),,,
518,FREEDOM,FD20230102005,1/2/23,"$32,984.00 ","$40,832.00 ","$14,518.00 ",,"($21,033.00)",,,($77.04),($536.56),($319.40),($400.00),,,
519,FREEDOM,FD20230107005,1/7/23,"$43,910.44 ","$46,499.00 ","$27,186.00 ",,"($28,000.30)",,,($118.09),($658.08),($598.09),($400.00),,,
